"Tab","a","k","s","l","j","d","f","t","h","i"," ","o","w",";","e","g","n","v","u","q","Shift","T","y","Backspace","r","I","p","b",".","c","m"
,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
